,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Gucci,Gucci Bloom (01043),Gucci Bloom Chrysalis (00006776),P_US_ALL_OTHERS,100.0,24.43941662321059,39.846417817551774,63.8543576631285,9.577438726933234,51.827678436254146,9.267919323094521,26.17541675778424,4.435042979460696,11.867714098272412,0.7914613016636669,1.7141319158241797,3.9707638737026256,5.229868622470436,1.8554342523592444,0.8351977391626155,1.0000504651201911,
Gucci,Gucci Flora (01228),Gucci Flora Gorgeous Gardenia Intense (00007022),P_US_ULTA,100.0,20.80016524460969,4.4504822282600065,0.015888904777793665,19.714953048286382,56.86956798067909,1.1249344582677916,3.5368702035368704,5.638972305638972,12.374279040945707,31.712665045998378,1.6889905778794667,2.1450021450021453,1.7827351160684495,1.5682349015682349,,,
Gucci,Gucci Flora (01228),Gucci Flora Gorgeous Orchid (00006613),P_US_ALL_OTHERS,100.0,92.2324577757945,57.15778985396507,56.99274409961428,22.704794273523603,62.17884846965909,36.98858739172693,8.177100207224115,42.02553930228435,24.53313446338735,21.85878196233289,36.4103159709275,7.680129102456737,41.416092572329774,12.114358369347947,43.14296018729637,41.29383645799585,4.788160717887903
Gucci,Gucci Flora (01228),Gucci Flora Gorgeous Orchid (00006613),P_US_ULTA,100.0,49.65696396456404,39.492439885432624,7.873176580297075,8.389395856923999,5.846599613668154,3.6235262772264036,27.13981216279225,19.63631519349897,13.864650636115366,25.00832611736495,34.76153999866782,4.003197229068141,15.832944781189637,11.544994338240192,14.3792046892693,4.049823486311864,4.136415106907347
Gucci,Gucci Guilty (00840),Gucci Guilty Limited Editions (00006601),P_US_ALL_OTHERS,100.0,123.87277175812652,4.334148898986368,126.45927997203773,21.251310730513808,13.194687172317371,60.80041943376442,0.0,0.0,0.0,6.221600838867529,0.0,0.0,0.0,0.0,0.0,11.569381335197484,0.0
Gucci,Gucci Guilty (00840),Gucci Guilty Limited Editions (00006601),P_US_ULTA,100.0,91.89765458422174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gucci,Gucci Guilty (00840),Gucci Guilty Limited Editions F (00007090),P_US_ALL_OTHERS,100.0,151.60765669961216,155.87388965344678,664.1060928312273,192.4308770173902,283.8483673214062,27.599149255598647,45.96521956712123,61.15350932065557,15.488552483422996,59.98999124233705,40.01000875766296,46.59076692105592,173.80207681721507,332.0030026272989,35.4435130739397,31.740272738646315,32.01551357437758
Gucci,Gucci Guilty (00840),Gucci Guilty Limited Editions F (00007090),P_US_ULTA,100.0,0.13407590759075907,0.871493399339934,29.11509900990099,5.8426155115511555,14.480198019801978,0.40222772277227725,4.610148514851485,2.722772277227723,7.2710396039603955,20.683787128712872,0.49504950495049505,20.807549504950494,14.248143564356436,1.1138613861386137,13.500412541254125,17.69286303630363,94.05940594059405
Gucci,Gucci Guilty (00840),Gucci Guilty Limited Editions M (00007089),P_US_ALL_OTHERS,100.0,206.94681345945108,430.65591564583656,418.73158629244847,78.10513257869437,531.121104047139,124.99612342998914,56.41184679795317,499.4727864785238,26.90339587532951,9.288261746007134,133.85020933478057,25.97301907272445,171.39091331989457,410.2806636687858,47.402698092727555,77.14374321600248,92.99116142037526
Gucci,Gucci Guilty (00840),Gucci Guilty Limited Editions M (00007089),P_US_ULTA,100.0,0.13407590759075907,0.871493399339934,34.62252475247525,2.011138613861386,2.3978960396039604,7.0389851485148505,0.13923267326732672,1.9647277227722773,2.103960396039604,5.693069306930694,15.640470297029701,15.006188118811881,22.014232673267326,0.7580445544554455,2.753712871287129,10.994224422442244,1.608910891089109
