House,Brand,PL,CFG,vol,age,active,cv,trend,rep_yoy,conc,cut_rate,epos,archetype,score,band
Gucci Make up,Gucci Face (01201),Gucci Highlighting Powder (00006538),P_US_ALL_OTHERS,29068.0,25,1.0,0.7424693943009264,-0.29212935904928894,0.6671705409951569,0.3347544630126048,0.05840432768617797,True,MODERATE,90,HIGH
Gucci Make up,Gucci Face (01201),Gucci Matt Foundation (00006173),P_US_ALL_OTHERS,24297.0,36,1.0,1.8422054949132125,-0.8713266640893517,0.5578538362027337,0.6357988776486928,0.6698777173913043,True,LUMPY / EVENT-DRIVEN,70,GOOD
Gucci Make up,Gucci Face (01201),Gucci Multi Usage Gloss (00005676),P_US_ALL_OTHERS,2444.0,36,0.9166666666666666,0.665183649937323,-0.25076640098099323,-0.23747477462547736,0.2698913424465475,0.48088360237892946,True,MODERATE,65,GOOD
Gucci Make up,Gucci Face (01201),Gucci Setting Spray (00005881),P_US_ALL_OTHERS,5676.0,36,1.0,0.5171353746965051,0.012667261373773416,-0.25576584231629473,0.238808616257424,0.11671335200746966,True,MODERATE,75,GOOD
Gucci Make up,Gucci Lips (01200),Gucci Lip Balm (00005662),P_US_ALL_OTHERS,2536.0,36,1.0,0.7601724182084398,-0.5494759282288151,0.2621995777990041,0.33472137170851196,0.05724907063197026,True,DECLINING,80,HIGH
Gucci Make up,Gucci Lips (01200),Gucci Lip Balm Pot (00005668),P_US_ALL_OTHERS,6761.0,36,1.0,0.4706394987304337,-0.21502380123069778,0.3984218054824263,0.2216079094575257,0.27277616435409274,True,STABLE & REPEATABLE,90,HIGH
Gucci Make up,Gucci Lips (01200),Gucci Lip Gloss (00005667),P_US_ALL_OTHERS,89583.0,33,1.0,2.380575256801806,4.4713858181151895,-0.15581812118664556,0.7520668956925516,0.0035704751735184197,True,LUMPY / EVENT-DRIVEN,45,FAIR
Gucci Make up,Gucci Lips (01200),Gucci Lip Liner (00005855),P_US_ALL_OTHERS,2410.0,36,1.0,0.8216442797086522,-0.6051769331585846,0.5531801857453693,0.3733850129198966,0.17550461854259322,True,DECLINING,90,HIGH
Gucci Make up,Gucci Lips (01200),Gucci Liquid Tint Lipstick (00007209),P_US_ALL_OTHERS,37261.0,6,0.25,2.212408373186296,,,0.8291779608706153,0.330103196576894,True,NEW / LAUNCH,10,LOW
Gucci Make up,Gucci Lips (01200),Gucci Matte Lipstick (00005663),P_US_ALL_OTHERS,137192.0,36,1.0,1.3372002373188467,-0.3403247599401834,-0.0500594610344797,0.4571200106616912,0.12054155234749608,True,LUMPY / EVENT-DRIVEN,45,FAIR
Gucci Make up,Gucci Lips (01200),Gucci Matte lip liquid (00005670),P_US_ALL_OTHERS,13914.0,36,1.0,0.5854812988663199,-0.2807071960297767,-0.310269866642812,0.26883757291478744,0.3516309412861137,True,MODERATE,75,GOOD
