House,Brand,PL,CFG,a12,a6,ap12,c12,cfwd,cuts,e6,ep6,last_cons,cut_rate,fwd_vs_run,epos_g,sellin_g
Gucci,Gucci Bloom (01043),Gucci Bloom EDP (00004476),P_US_ALL_OTHERS,259967.0,78884.0,314913.0,96246.5,96246.5,3953.0,25569.0,52837.0,2027.M06,0.014978023643528342,0.3702258363561529,-0.5160777485474194,-0.49901083791396356
Gucci,Gucci Bloom (01043),Gucci Bloom EDP (00004476),P_US_ULTA,38897.0,15745.0,63399.0,25186.5,25186.5,8433.0,12310.0,16838.0,2027.M06,0.17817451933234735,0.6475178034295704,-0.2689155481648652,-0.5033044685247401
Gucci,Gucci Bloom (01043),Gucci Bloom EDP Intense (00006292),P_US_ALL_OTHERS,52229.0,13103.0,97365.0,24187.63225806451,24187.63225806451,12645.0,11257.0,20712.0,2027.M06,0.1949162992878503,0.4631073208000251,-0.45649864812668983,-0.7308478405998049
Gucci,Gucci Bloom (01043),Gucci Bloom EDP Intense (00006292),P_US_ULTA,10323.0,2900.0,8573.0,4683.367741935483,4683.367741935483,6145.0,2309.0,8244.0,2027.M06,0.3731479232450814,0.4536828191354725,-0.7199175157690442,-0.32345736614953924
Gucci,Gucci Bloom (01043),Gucci Bloom EDT (00005943),P_US_ALL_OTHERS,42217.0,20704.0,44205.0,50405.529987021,50405.529987021,41587.0,11255.0,20334.0,2027.M06,0.49624122953558303,1.1939628582566502,-0.4464935575882758,-0.06327338536364664
Gucci,Gucci Bloom (01043),Gucci Bloom EDT (00005943),P_US_ULTA,53383.0,16970.0,11080.0,16358.25385825772,16358.25385825772,12010.0,21661.0,9866.0,2027.M06,0.18365880140076155,0.30643189513998315,1.195519967565376,2.063176895306859
Gucci,Gucci Bloom (01043),Gucci Bloom Signature (00007298),P_US_ALL_OTHERS,0.0,0.0,0.0,62263.0,62263.0,0.0,0.0,0.0,2027.M06,,,,
Gucci,Gucci Flora (01228),Flora Gorgeous Jasmine  (00005984),P_US_ALL_OTHERS,55812.0,21245.0,90679.0,31647.00457001232,31647.00457001232,19553.0,17231.0,34465.0,2027.M06,0.2594440390101506,0.5670286778831133,-0.5000435224140433,-0.5314240342306378
Gucci,Gucci Flora (01228),Flora Gorgeous Jasmine  (00005984),P_US_ULTA,31263.0,3039.0,28654.0,7685.3631477490635,7685.3631477490635,12810.0,10272.0,18766.0,2027.M06,0.2906541419916956,0.24582935571599218,-0.45262709154854525,-0.7878830180777553
Gucci,Gucci Flora (01228),Gorgeous Gardenia (00005915),P_US_ALL_OTHERS,979060.0,253473.0,1192836.0,1421449.3000595411,1421449.3000595411,16253.0,154618.0,303185.0,2027.M06,0.016329536537752445,1.451851061282803,-0.4900209443079308,-0.5750077965453759
Gucci,Gucci Flora (01228),Gorgeous Gardenia (00005915),P_US_ULTA,506313.0,277540.0,260845.0,136917.3776111408,136917.3776111408,6697.0,85085.0,124844.0,2027.M06,0.013054326426385451,0.27042042691208956,-0.31846944987344206,1.1280070539975848
Gucci,Gucci Flora (01228),Gucci Flora Gorgeous Gardenia Intense (00007022),P_US_ALL_OTHERS,638007.0,318339.0,236179.0,75532.6385687483,75532.6385687483,9458.0,43118.0,68890.0,2027.M06,0.014607739414485725,0.11838841669252578,-0.37410364348962116,1.6957434826974456
Gucci,Gucci Flora (01228),Gucci Flora Gorgeous Gardenia Intense (00007022),P_US_ULTA,86962.0,32269.0,78829.0,23150.36143125167,23150.36143125167,2606.0,17825.0,25382.0,2027.M06,0.02909521257591997,0.2662123850791342,-0.29773067528169567,-0.18129114919636174
Gucci,Gucci Flora (01228),Gucci Flora Gorgeous Magnolia (00006454),P_US_ALL_OTHERS,68802.0,30728.0,270437.0,58204.45908497755,58204.45908497755,8352.0,23415.0,34617.0,2027.M06,0.10825103040671903,0.845970452675468,-0.3235982320825028,-0.7727529886812825
Gucci,Gucci Flora (01228),Gucci Flora Gorgeous Magnolia (00006454),P_US_ULTA,47184.0,29129.0,95748.0,26728.440591397848,26728.440591397848,3890.0,11357.0,19017.0,2027.M06,0.076163997337197,0.5664725455959191,-0.40279749697638956,-0.3915486485357397
Gucci,Gucci Flora (01228),Gucci Flora Gorgeous Magnolia EDPI (00007240),P_US_ALL_OTHERS,0.0,0.0,0.0,296609.0,296609.0,0.0,0.0,0.0,2027.M06,,,,
Gucci,Gucci Flora (01228),Gucci Flora Gorgeous Orchid (00006613),P_US_ALL_OTHERS,320539.0,139666.0,684013.0,421605.8924171241,421605.8924171241,3290.0,48994.0,69818.0,2027.M06,0.010159683042593468,1.3153029503964389,-0.29826119338852447,-0.5916276445038325
Gucci,Gucci Flora (01228),Gucci Flora Gorgeous Orchid (00006613),P_US_ULTA,67080.0,34667.0,143702.0,47306.77424954255,47306.77424954255,9257.0,24617.0,29963.0,2027.M06,0.12126491740571414,0.7052291927481,-0.17842005139672262,-0.5175154138425353
Gucci,Gucci Flora (01228),Gucci Flora Gorgeous Orchid Intense (00007099),P_US_ALL_OTHERS,257929.0,257929.0,0.0,1051557.0,1051557.0,3.0,11646.0,0.0,2027.M06,1.1630972504380999e-05,4.076924269857209,,
Gucci,Gucci Flora (01228),Gucci Flora Gorgeous Orchid Intense (00007099),P_US_ULTA,57524.0,57524.0,0.0,15291.0,15291.0,0.0,2684.0,0.0,2026.M08,0.0,0.26581948404144357,,
Gucci,Gucci Fragrance Other Lines (00845),Gucci Fragrance Other Lines (00003485),P_US_ALL_OTHERS,125.0,125.0,0.0,431558.0,431558.0,0.0,0.0,0.0,2027.M06,0.0,3452.464,,
Gucci,Gucci Fragrance Other Lines (00845),Gucci Fragrance Other Lines (00003485),P_US_ULTA,2275.0,2275.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,
Gucci,Gucci Guilty (00840),GUILTY COLOGNE (00005068),P_US_ALL_OTHERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Gucci,Gucci Guilty (00840),Gucci Guilty Absolute Pour Femme (00004475),P_US_ALL_OTHERS,173.0,63.0,1261.0,981.0,981.0,45.0,121.0,479.0,2027.M05,0.20642201834862386,5.670520231213873,-0.7473903966597077,-0.9000793021411578
Gucci,Gucci Guilty (00840),Gucci Guilty Absolute Pour Femme (00004475),P_US_ULTA,0.0,0.0,401.0,1.5,1.5,0.0,0.0,0.0,2026.M08,,,,-1.0
Gucci,Gucci Guilty (00840),Gucci Guilty Absolute Pour Homme (00003472),P_US_ALL_OTHERS,156.0,42.0,1299.0,272.0,272.0,0.0,165.0,244.0,2027.M06,0.0,1.7435897435897436,-0.3237704918032787,-0.9353348729792148
Gucci,Gucci Guilty (00840),Gucci Guilty Black (00003464),P_US_ALL_OTHERS,0.0,0.0,11431.0,19927.0,19927.0,0.0,0.0,0.0,2027.M04,,,,-1.0
Gucci,Gucci Guilty (00840),Gucci Guilty Black Pour Homme (00003465),P_US_ALL_OTHERS,312303.0,144830.0,525077.0,98561.05093833781,98561.05093833781,14864.0,51505.0,81029.0,2027.M06,0.045432454984763136,0.315594313658011,-0.36436337607523234,-0.44834757568889894
Gucci,Gucci Guilty (00840),Gucci Guilty Black Pour Homme (00003465),P_US_ULTA,159129.0,111734.0,109240.0,41373.949061662104,41373.949061662104,11137.0,9833.0,15549.0,2027.M06,0.06540941820445656,0.26000257062925114,-0.36761206508457134,1.0456609300622484
Gucci,Gucci Guilty (00840),Gucci Guilty Eau (00003466),P_US_ALL_OTHERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
